row_numb,name,address/location,cusion,rate(ing)
39,restaurant #39,"NY, 144 street, 351",Italian,4
40,restaurant #40,"NY, 46 street, 168",Chinese,5
41,restaurant #41,"NY, 77 street, 420",Traditional,1
42,restaurant #42,"NY, 18 street, 74",Traditional,2
43,restaurant #43,"NY, 22 street, 589",Traditional,4
44,restaurant #44,"NY, 247 street, 550",Traditional,2
45,restaurant #45,"NY, 26 street, 383",Traditional,2
46,restaurant #46,"NY, 271 street, 555",Italian,1
47,restaurant #47,"NY, 234 street, 297",Chinese,2
48,restaurant #48,"NY, 32 street, 338",Chinese,4
49,restaurant #49,"NY, 76 street, 149",Italian,5
50,restaurant #50,"NY, 173 street, 352",Italian,1
51,restaurant #51,"NY, 225 street, 194",Traditional,3
52,restaurant #52,"NY, 170 street, 139",Traditional,5
53,restaurant #53,"NY, 15 street, 126",Chinese,1
54,restaurant #54,"NY, 199 street, 446",Italian,1
55,restaurant #55,"NY, 149 street, 64",Traditional,4
56,restaurant #56,"NY, 124 street, 286",Italian,5
57,restaurant #57,"NY, 92 street, 378",Traditional,4
58,restaurant #58,"NY, 12 street, 58",Italian,1
59,restaurant #59,"NY, 116 street, 128",Traditional,5
60,restaurant #60,"NY, 154 street, 137",Italian,2
61,restaurant #61,"NY, 95 street, 537",Italian,4
62,restaurant #62,"NY, 259 street, 154",Chinese,5
63,restaurant #63,"NY, 10 street, 79",Chinese,5
64,restaurant #64,"NY, 162 street, 541",Traditional,4
65,restaurant #65,"NY, 6 street, 206",Italian,5
66,restaurant #66,"NY, 8 street, 372",Chinese,2
67,restaurant #67,"NY, 261 street, 581",Chinese,2
68,restaurant #68,"NY, 129 street, 493",Traditional,3
69,restaurant #69,"NY, 196 street, 535",Chinese,1
70,restaurant #70,"NY, 144 street, 259",Traditional,1
71,restaurant #71,"NY, 231 street, 170",Traditional,5
72,restaurant #72,"NY, 53 street, 175",Chinese,2
73,restaurant #73,"NY, 20 street, 586",Traditional,5
74,restaurant #74,"NY, 84 street, 305",Italian,3
75,restaurant #75,"NY, 144 street, 484",Chinese,5
76,restaurant #76,"NY, 57 street, 536",Chinese,1
77,restaurant #77,"NY, 253 street, 278",Italian,5
78,restaurant #78,"NY, 167 street, 181",Chinese,2
79,restaurant #79,"NY, 110 street, 451",Chinese,1
80,restaurant #80,"NY, 39 street, 474",Chinese,5
81,restaurant #81,"NY, 219 street, 226",Chinese,1
82,restaurant #82,"NY, 192 street, 132",Chinese,5
83,restaurant #83,"NY, 141 street, 449",Traditional,5
84,restaurant #84,"NY, 222 street, 80",Chinese,3
85,restaurant #85,"NY, 58 street, 360",Italian,4
86,restaurant #86,"NY, 100 street, 273",Chinese,3
87,restaurant #87,"NY, 251 street, 390",Chinese,2
88,restaurant #88,"NY, 218 street, 537",Chinese,3
89,restaurant #89,"NY, 218 street, 548",Traditional,2
90,restaurant #90,"NY, 166 street, 412",Traditional,1
91,restaurant #91,"NY, 86 street, 432",Italian,2
92,restaurant #92,"NY, 270 street, 389",Chinese,1
93,restaurant #93,"NY, 74 street, 6",Chinese,5
94,restaurant #94,"NY, 73 street, 253",Chinese,3
95,restaurant #95,"NY, 7 street, 558",Italian,3
96,restaurant #96,"NY, 239 street, 100",Traditional,3
97,restaurant #97,"NY, 88 street, 208",Traditional,2
98,restaurant #98,"NY, 65 street, 513",Chinese,1
99,restaurant #99,"NY, 233 street, 246",Italian,1
100,restaurant #100,"NY, 145 street, 521",Italian,3
101,restaurant #101,"NY, 72 street, 589",Chinese,3
102,restaurant #102,"NY, 133 street, 289",Italian,4
103,restaurant #103,"NY, 105 street, 162",Chinese,2
104,restaurant #104,"NY, 142 street, 269",Italian,2
105,restaurant #105,"NY, 265 street, 467",Traditional,1
106,restaurant #106,"NY, 66 street, 528",Chinese,5
107,restaurant #107,"NY, 161 street, 192",Traditional,4
108,restaurant #108,"NY, 53 street, 143",Traditional,2
109,restaurant #109,"NY, 83 street, 344",Chinese,2
110,restaurant #110,"NY, 221 street, 222",Chinese,5
111,restaurant #111,"NY, 27 street, 261",Traditional,5
112,restaurant #112,"NY, 28 street, 87",Traditional,4
113,restaurant #113,"NY, 49 street, 134",Italian,1
114,restaurant #114,"NY, 27 street, 287",Italian,1
115,restaurant #115,"NY, 78 street, 334",Italian,2
116,restaurant #116,"NY, 136 street, 114",Traditional,5
117,restaurant #117,"NY, 258 street, 391",Chinese,1
118,restaurant #118,"NY, 178 street, 245",Chinese,2
119,restaurant #119,"NY, 24 street, 369",Traditional,2
120,restaurant #120,"NY, 47 street, 11",Chinese,1
121,restaurant #121,"NY, 219 street, 151",Chinese,4
122,restaurant #122,"NY, 230 street, 569",Chinese,3
123,restaurant #123,"NY, 64 street, 503",Italian,3
124,restaurant #124,"NY, 4 street, 538",Italian,2
125,restaurant #125,"NY, 56 street, 180",Chinese,2
126,restaurant #126,"NY, 165 street, 318",Traditional,2
127,restaurant #127,"NY, 60 street, 140",Italian,4
128,restaurant #128,"NY, 42 street, 22",Traditional,2
129,restaurant #129,"NY, 183 street, 151",Chinese,3
130,restaurant #130,"NY, 167 street, 206",Italian,2
131,restaurant #131,"NY, 94 street, 135",Italian,5
132,restaurant #132,"NY, 142 street, 194",Chinese,1
133,restaurant #133,"NY, 141 street, 25",Traditional,3
134,restaurant #134,"NY, 26 street, 441",Chinese,4
135,restaurant #135,"NY, 135 street, 430",Italian,2
136,restaurant #136,"NY, 43 street, 441",Italian,4
137,restaurant #137,"NY, 51 street, 465",Chinese,1
138,restaurant #138,"NY, 127 street, 184",Traditional,1
139,restaurant #139,"NY, 163 street, 43",Italian,3
140,restaurant #140,"NY, 181 street, 31",Traditional,2
141,restaurant #141,"NY, 87 street, 262",Traditional,1
142,restaurant #142,"NY, 152 street, 257",Chinese,3
143,restaurant #143,"NY, 240 street, 458",Italian,2
144,restaurant #144,"NY, 154 street, 383",Italian,2
145,restaurant #145,"NY, 224 street, 294",Chinese,1
146,restaurant #146,"NY, 28 street, 42",Traditional,4
147,restaurant #147,"NY, 105 street, 426",Traditional,5
148,restaurant #148,"NY, 146 street, 239",Chinese,4
149,restaurant #149,"NY, 132 street, 308",Chinese,2
150,restaurant #150,"NY, 202 street, 118",Italian,4
151,restaurant #151,"NY, 83 street, 331",Chinese,5
152,restaurant #152,"NY, 199 street, 117",Traditional,5
153,restaurant #153,"NY, 225 street, 135",Italian,4
154,restaurant #154,"NY, 220 street, 65",Italian,1
155,restaurant #155,"NY, 60 street, 205",Chinese,4
156,restaurant #156,"NY, 185 street, 185",Italian,3
157,restaurant #157,"NY, 110 street, 333",Traditional,5
158,restaurant #158,"NY, 137 street, 285",Italian,4
159,restaurant #159,"NY, 57 street, 270",Traditional,1
160,restaurant #160,"NY, 120 street, 457",Italian,4
161,restaurant #161,"NY, 177 street, 369",Italian,1
162,restaurant #162,"NY, 82 street, 573",Chinese,2
163,restaurant #163,"NY, 97 street, 394",Italian,3
164,restaurant #164,"NY, 18 street, 328",Italian,5
165,restaurant #165,"NY, 261 street, 434",Chinese,4
166,restaurant #166,"NY, 198 street, 380",Chinese,5
167,restaurant #167,"NY, 84 street, 410",Italian,4
168,restaurant #168,"NY, 137 street, 71",Traditional,5
169,restaurant #169,"NY, 183 street, 504",Chinese,1
170,restaurant #170,"NY, 219 street, 410",Italian,3
171,restaurant #171,"NY, 201 street, 415",Traditional,5
172,restaurant #172,"NY, 133 street, 397",Chinese,1
173,restaurant #173,"NY, 22 street, 27",Traditional,3
174,restaurant #174,"NY, 214 street, 584",Chinese,1
175,restaurant #175,"NY, 254 street, 285",Chinese,2
176,restaurant #176,"NY, 24 street, 9",Traditional,1
177,restaurant #177,"NY, 183 street, 579",Traditional,5
178,restaurant #178,"NY, 8 street, 322",Traditional,4
179,restaurant #179,"NY, 239 street, 227",Italian,2
180,restaurant #180,"NY, 247 street, 147",Traditional,3
181,restaurant #181,"NY, 67 street, 138",Traditional,4
182,restaurant #182,"NY, 23 street, 74",Italian,5
183,restaurant #183,"NY, 140 street, 97",Traditional,5
184,restaurant #184,"NY, 53 street, 156",Italian,3
185,restaurant #185,"NY, 145 street, 230",Chinese,4
186,restaurant #186,"NY, 106 street, 139",Italian,5
187,restaurant #187,"NY, 22 street, 209",Chinese,5
188,restaurant #188,"NY, 65 street, 580",Traditional,4
189,restaurant #189,"NY, 146 street, 510",Italian,5
190,restaurant #190,"NY, 36 street, 219",Chinese,2
191,restaurant #191,"NY, 185 street, 471",Italian,4
192,restaurant #192,"NY, 241 street, 503",Italian,5
193,restaurant #193,"NY, 194 street, 506",Chinese,5
194,restaurant #194,"NY, 28 street, 245",Traditional,2
195,restaurant #195,"NY, 147 street, 262",Traditional,3
196,restaurant #196,"NY, 22 street, 545",Traditional,2
197,restaurant #197,"NY, 180 street, 212",Traditional,2
198,restaurant #198,"NY, 199 street, 209",Traditional,3
199,restaurant #199,"NY, 141 street, 391",Traditional,2
200,restaurant #200,"NY, 176 street, 339",Chinese,1
201,restaurant #201,"NY, 269 street, 348",Chinese,4
202,restaurant #202,"NY, 149 street, 453",Chinese,5
203,restaurant #203,"NY, 237 street, 253",Traditional,2
204,restaurant #204,"NY, 236 street, 397",Traditional,5
205,restaurant #205,"NY, 136 street, 266",Traditional,4
206,restaurant #206,"NY, 194 street, 440",Italian,1
207,restaurant #207,"NY, 114 street, 220",Chinese,3
208,restaurant #208,"NY, 126 street, 469",Chinese,5
209,restaurant #209,"NY, 247 street, 34",Traditional,1
210,restaurant #210,"NY, 134 street, 168",Traditional,1
211,restaurant #211,"NY, 121 street, 286",Italian,4
212,restaurant #212,"NY, 5 street, 441",Chinese,1
213,restaurant #213,"NY, 176 street, 171",Italian,3
214,restaurant #214,"NY, 194 street, 139",Italian,2
215,restaurant #215,"NY, 29 street, 502",Italian,5
216,restaurant #216,"NY, 25 street, 346",Traditional,2
217,restaurant #217,"NY, 149 street, 466",Traditional,1
218,restaurant #218,"NY, 162 street, 151",Traditional,3
219,restaurant #219,"NY, 42 street, 515",Traditional,3
220,restaurant #220,"NY, 116 street, 438",Italian,1
221,restaurant #221,"NY, 123 street, 46",Italian,5
222,restaurant #222,"NY, 150 street, 335",Chinese,1
223,restaurant #223,"NY, 62 street, 454",Italian,5
224,restaurant #224,"NY, 7 street, 26",Traditional,3
225,restaurant #225,"NY, 267 street, 434",Traditional,5
226,restaurant #226,"NY, 205 street, 178",Italian,1
227,restaurant #227,"NY, 9 street, 180",Chinese,1
228,restaurant #228,"NY, 6 street, 484",Traditional,4
229,restaurant #229,"NY, 22 street, 272",Traditional,5
230,restaurant #230,"NY, 180 street, 482",Italian,3
231,restaurant #231,"NY, 39 street, 32",Chinese,4
232,restaurant #232,"NY, 173 street, 53",Traditional,5
233,restaurant #233,"NY, 10 street, 524",Chinese,1
234,restaurant #234,"NY, 202 street, 91",Traditional,4
235,restaurant #235,"NY, 76 street, 388",Chinese,4
236,restaurant #236,"NY, 174 street, 560",Italian,4
237,restaurant #237,"NY, 20 street, 153",Italian,1
238,restaurant #238,"NY, 24 street, 423",Chinese,4
239,restaurant #239,"NY, 77 street, 489",Italian,3
240,restaurant #240,"NY, 8 street, 148",Italian,2
241,restaurant #241,"NY, 210 street, 191",Italian,1
242,restaurant #242,"NY, 186 street, 356",Chinese,3
243,restaurant #243,"NY, 34 street, 119",Chinese,1
244,restaurant #244,"NY, 258 street, 255",Italian,2
245,restaurant #245,"NY, 239 street, 76",Traditional,2
246,restaurant #246,"NY, 146 street, 200",Traditional,1
247,restaurant #247,"NY, 185 street, 111",Italian,5
248,restaurant #248,"NY, 15 street, 35",Chinese,4
249,restaurant #249,"NY, 68 street, 293",Italian,4
250,restaurant #250,"NY, 230 street, 3",Traditional,5
251,restaurant #251,"NY, 31 street, 166",Chinese,5
252,restaurant #252,"NY, 201 street, 159",Chinese,2
253,restaurant #253,"NY, 263 street, 286",Italian,3
254,restaurant #254,"NY, 9 street, 414",Chinese,5
255,restaurant #255,"NY, 28 street, 441",Traditional,1
256,restaurant #256,"NY, 15 street, 282",Italian,3
257,restaurant #257,"NY, 3 street, 578",Traditional,1
258,restaurant #258,"NY, 63 street, 72",Traditional,1
259,restaurant #259,"NY, 65 street, 316",Traditional,3
260,restaurant #260,"NY, 49 street, 426",Chinese,5
261,restaurant #261,"NY, 228 street, 167",Chinese,3
262,restaurant #262,"NY, 160 street, 424",Italian,4
263,restaurant #263,"NY, 89 street, 482",Italian,3
264,restaurant #264,"NY, 208 street, 459",Traditional,1
265,restaurant #265,"NY, 231 street, 233",Italian,4
266,restaurant #266,"NY, 134 street, 252",Chinese,4
267,restaurant #267,"NY, 125 street, 258",Italian,2
268,restaurant #268,"NY, 145 street, 411",Traditional,5
269,restaurant #269,"NY, 172 street, 131",Italian,2
270,restaurant #270,"NY, 133 street, 103",Traditional,1
271,restaurant #271,"NY, 11 street, 188",Traditional,1
272,restaurant #272,"NY, 253 street, 324",Traditional,5
273,restaurant #273,"NY, 91 street, 592",Traditional,5
274,restaurant #274,"NY, 181 street, 416",Italian,5
275,restaurant #275,"NY, 35 street, 324",Traditional,5
276,restaurant #276,"NY, 212 street, 270",Italian,2
277,restaurant #277,"NY, 189 street, 418",Italian,5
278,restaurant #278,"NY, 164 street, 28",Traditional,4
279,restaurant #279,"NY, 234 street, 337",Italian,5
280,restaurant #280,"NY, 30 street, 125",Traditional,5
281,restaurant #281,"NY, 145 street, 96",Chinese,5
282,restaurant #282,"NY, 66 street, 152",Traditional,3
283,restaurant #283,"NY, 201 street, 570",Italian,3
284,restaurant #284,"NY, 195 street, 46",Traditional,2
285,restaurant #285,"NY, 178 street, 102",Italian,5
286,restaurant #286,"NY, 80 street, 425",Italian,4
287,restaurant #287,"NY, 5 street, 282",Chinese,3
288,restaurant #288,"NY, 38 street, 330",Traditional,5
289,restaurant #289,"NY, 156 street, 426",Italian,2
290,restaurant #290,"NY, 1 street, 192",Italian,3
291,restaurant #291,"NY, 166 street, 281",Chinese,3
292,restaurant #292,"NY, 264 street, 111",Chinese,3
293,restaurant #293,"NY, 135 street, 207",Traditional,1
294,restaurant #294,"NY, 100 street, 355",Chinese,3
295,restaurant #295,"NY, 31 street, 499",Traditional,4
296,restaurant #296,"NY, 230 street, 466",Italian,5
297,restaurant #297,"NY, 107 street, 78",Italian,2
298,restaurant #298,"NY, 58 street, 31",Traditional,2
299,restaurant #299,"NY, 249 street, 20",Traditional,4
300,restaurant #300,"NY, 126 street, 287",Italian,3
301,restaurant #301,"NY, 48 street, 431",Chinese,1
302,restaurant #302,"NY, 168 street, 450",Chinese,4
303,restaurant #303,"NY, 148 street, 3",Italian,5
304,restaurant #304,"NY, 114 street, 393",Italian,5
305,restaurant #305,"NY, 74 street, 305",Italian,2
306,restaurant #306,"NY, 174 street, 451",Traditional,1
307,restaurant #307,"NY, 164 street, 505",Italian,2
308,restaurant #308,"NY, 224 street, 337",Traditional,2
309,restaurant #309,"NY, 46 street, 581",Traditional,1
310,restaurant #310,"NY, 109 street, 492",Italian,3
311,restaurant #311,"NY, 17 street, 361",Traditional,5
312,restaurant #312,"NY, 254 street, 87",Chinese,2
313,restaurant #313,"NY, 166 street, 321",Traditional,2
314,restaurant #314,"NY, 229 street, 437",Traditional,5
315,restaurant #315,"NY, 188 street, 417",Traditional,2
316,restaurant #316,"NY, 63 street, 326",Italian,4
317,restaurant #317,"NY, 165 street, 412",Traditional,4
318,restaurant #318,"NY, 222 street, 539",Italian,1
319,restaurant #319,"NY, 251 street, 376",Italian,5
320,restaurant #320,"NY, 183 street, 55",Chinese,1
321,restaurant #321,"NY, 125 street, 56",Chinese,1
322,restaurant #322,"NY, 86 street, 184",Chinese,3
323,restaurant #323,"NY, 121 street, 48",Chinese,4
324,restaurant #324,"NY, 54 street, 553",Traditional,4
325,restaurant #325,"NY, 96 street, 577",Traditional,3
326,restaurant #326,"NY, 252 street, 499",Italian,4
327,restaurant #327,"NY, 61 street, 368",Traditional,2
328,restaurant #328,"NY, 140 street, 262",Chinese,4
329,restaurant #329,"NY, 87 street, 573",Italian,3
330,restaurant #330,"NY, 254 street, 310",Chinese,5
331,restaurant #331,"NY, 251 street, 277",Traditional,3
332,restaurant #332,"NY, 224 street, 158",Traditional,3
333,restaurant #333,"NY, 163 street, 189",Italian,3
334,restaurant #334,"NY, 150 street, 244",Traditional,1
335,restaurant #335,"NY, 213 street, 125",Traditional,5
336,restaurant #336,"NY, 29 street, 284",Traditional,3
337,restaurant #337,"NY, 182 street, 44",Traditional,5
338,restaurant #338,"NY, 63 street, 556",Traditional,5
339,restaurant #339,"NY, 117 street, 186",Traditional,4
340,restaurant #340,"NY, 257 street, 91",Chinese,5
341,restaurant #341,"NY, 135 street, 284",Italian,5
342,restaurant #342,"NY, 33 street, 580",Traditional,3
343,restaurant #343,"NY, 71 street, 452",Italian,4
344,restaurant #344,"NY, 49 street, 379",Italian,3
345,restaurant #345,"NY, 211 street, 586",Italian,3
346,restaurant #346,"NY, 260 street, 89",Chinese,5
347,restaurant #347,"NY, 84 street, 200",Traditional,5
348,restaurant #348,"NY, 204 street, 565",Chinese,4
349,restaurant #349,"NY, 65 street, 300",Italian,4
350,restaurant #350,"NY, 31 street, 554",Italian,3
351,restaurant #351,"NY, 215 street, 188",Chinese,2
352,restaurant #352,"NY, 157 street, 186",Traditional,1
353,restaurant #353,"NY, 63 street, 448",Chinese,1
354,restaurant #354,"NY, 135 street, 296",Chinese,2
355,restaurant #355,"NY, 175 street, 272",Italian,3
356,restaurant #356,"NY, 94 street, 465",Chinese,3
357,restaurant #357,"NY, 53 street, 460",Chinese,5
358,restaurant #358,"NY, 150 street, 412",Chinese,4
359,restaurant #359,"NY, 229 street, 419",Italian,3
360,restaurant #360,"NY, 130 street, 133",Chinese,4
361,restaurant #361,"NY, 206 street, 71",Italian,2
362,restaurant #362,"NY, 156 street, 177",Italian,3
363,restaurant #363,"NY, 87 street, 591",Traditional,2
364,restaurant #364,"NY, 203 street, 244",Italian,2
365,restaurant #365,"NY, 141 street, 166",Chinese,2
366,restaurant #366,"NY, 13 street, 302",Traditional,3
367,restaurant #367,"NY, 177 street, 571",Italian,2
368,restaurant #368,"NY, 75 street, 479",Traditional,3
369,restaurant #369,"NY, 210 street, 89",Italian,1
370,restaurant #370,"NY, 211 street, 235",Traditional,4
371,restaurant #371,"NY, 268 street, 331",Chinese,5
372,restaurant #372,"NY, 222 street, 176",Chinese,1
373,restaurant #373,"NY, 209 street, 499",Italian,2
374,restaurant #374,"NY, 257 street, 419",Chinese,2
375,restaurant #375,"NY, 214 street, 483",Chinese,2
376,restaurant #376,"NY, 188 street, 69",Chinese,5
377,restaurant #377,"NY, 55 street, 3",Italian,3
378,restaurant #378,"NY, 117 street, 156",Traditional,3
379,restaurant #379,"NY, 102 street, 131",Italian,5
380,restaurant #380,"NY, 175 street, 291",Italian,3
381,restaurant #381,"NY, 14 street, 333",Italian,2
382,restaurant #382,"NY, 271 street, 508",Italian,1
383,restaurant #383,"NY, 101 street, 367",Chinese,2
384,restaurant #384,"NY, 153 street, 512",Italian,4
385,restaurant #385,"NY, 6 street, 208",Chinese,3
386,restaurant #386,"NY, 60 street, 194",Chinese,4
387,restaurant #387,"NY, 138 street, 208",Traditional,4
388,restaurant #388,"NY, 233 street, 473",Chinese,2
389,restaurant #389,"NY, 31 street, 149",Italian,5
390,restaurant #390,"NY, 40 street, 197",Italian,2
391,restaurant #391,"NY, 110 street, 150",Traditional,4
392,restaurant #392,"NY, 222 street, 481",Traditional,3
393,restaurant #393,"NY, 30 street, 475",Chinese,5
394,restaurant #394,"NY, 56 street, 546",Traditional,3
395,restaurant #395,"NY, 77 street, 404",Traditional,4
396,restaurant #396,"NY, 109 street, 433",Italian,3
397,restaurant #397,"NY, 6 street, 65",Traditional,4
398,restaurant #398,"NY, 221 street, 489",Italian,1
399,restaurant #399,"NY, 197 street, 304",Italian,1
400,restaurant #400,"NY, 39 street, 232",Traditional,5
401,restaurant #401,"NY, 216 street, 599",Chinese,1
402,restaurant #402,"NY, 164 street, 223",Traditional,1
403,restaurant #403,"NY, 255 street, 65",Chinese,5
404,restaurant #404,"NY, 61 street, 456",Traditional,2
405,restaurant #405,"NY, 208 street, 173",Traditional,4
406,restaurant #406,"NY, 92 street, 91",Chinese,5
407,restaurant #407,"NY, 33 street, 253",Chinese,2
408,restaurant #408,"NY, 230 street, 450",Chinese,2
409,restaurant #409,"NY, 190 street, 500",Chinese,2
410,restaurant #410,"NY, 244 street, 520",Chinese,3
411,restaurant #411,"NY, 246 street, 462",Traditional,4
412,restaurant #412,"NY, 121 street, 209",Traditional,5
413,restaurant #413,"NY, 113 street, 482",Italian,1
414,restaurant #414,"NY, 243 street, 100",Italian,4
415,restaurant #415,"NY, 5 street, 66",Chinese,4
416,restaurant #416,"NY, 115 street, 506",Traditional,2
417,restaurant #417,"NY, 84 street, 83",Chinese,5
418,restaurant #418,"NY, 211 street, 185",Italian,4
419,restaurant #419,"NY, 140 street, 430",Traditional,1
420,restaurant #420,"NY, 112 street, 135",Italian,2
421,restaurant #421,"NY, 72 street, 171",Italian,5
422,restaurant #422,"NY, 146 street, 521",Traditional,4
423,restaurant #423,"NY, 96 street, 338",Italian,4
424,restaurant #424,"NY, 73 street, 45",Chinese,2
425,restaurant #425,"NY, 219 street, 363",Chinese,3
426,restaurant #426,"NY, 99 street, 570",Italian,4
427,restaurant #427,"NY, 30 street, 555",Chinese,5
428,restaurant #428,"NY, 68 street, 303",Traditional,1
429,restaurant #429,"NY, 127 street, 53",Italian,5
430,restaurant #430,"NY, 216 street, 343",Italian,4
431,restaurant #431,"NY, 15 street, 548",Traditional,4
432,restaurant #432,"NY, 41 street, 588",Traditional,5
433,restaurant #433,"NY, 183 street, 139",Traditional,2
434,restaurant #434,"NY, 82 street, 100",Italian,4
435,restaurant #435,"NY, 5 street, 591",Italian,1
436,restaurant #436,"NY, 87 street, 39",Chinese,5
437,restaurant #437,"NY, 194 street, 143",Traditional,3
438,restaurant #438,"NY, 85 street, 254",Chinese,1
439,restaurant #439,"NY, 172 street, 401",Chinese,4
440,restaurant #440,"NY, 221 street, 261",Italian,3
441,restaurant #441,"NY, 142 street, 532",Italian,5
442,restaurant #442,"NY, 29 street, 516",Chinese,1
443,restaurant #443,"NY, 252 street, 1",Italian,2
444,restaurant #444,"NY, 38 street, 424",Traditional,2
445,restaurant #445,"NY, 101 street, 438",Traditional,1
446,restaurant #446,"NY, 24 street, 510",Traditional,4
447,restaurant #447,"NY, 114 street, 263",Italian,5
448,restaurant #448,"NY, 84 street, 539",Traditional,3
449,restaurant #449,"NY, 189 street, 283",Traditional,5
450,restaurant #450,"NY, 103 street, 30",Traditional,5
451,restaurant #451,"NY, 27 street, 147",Traditional,1
452,restaurant #452,"NY, 59 street, 365",Chinese,2
453,restaurant #453,"NY, 176 street, 405",Traditional,3
454,restaurant #454,"NY, 205 street, 236",Traditional,1
455,restaurant #455,"NY, 258 street, 367",Chinese,3
456,restaurant #456,"NY, 134 street, 118",Chinese,1
457,restaurant #457,"NY, 31 street, 103",Traditional,4
458,restaurant #458,"NY, 85 street, 69",Italian,5
459,restaurant #459,"NY, 1 street, 4",Traditional,4
460,restaurant #460,"NY, 100 street, 338",Chinese,5
461,restaurant #461,"NY, 70 street, 477",Italian,1
462,restaurant #462,"NY, 122 street, 290",Chinese,3
463,restaurant #463,"NY, 255 street, 309",Italian,3
464,restaurant #464,"NY, 65 street, 199",Chinese,4
465,restaurant #465,"NY, 238 street, 193",Traditional,1
466,restaurant #466,"NY, 4 street, 116",Italian,4
467,restaurant #467,"NY, 220 street, 106",Traditional,3
468,restaurant #468,"NY, 252 street, 295",Italian,2
469,restaurant #469,"NY, 25 street, 457",Traditional,1
470,restaurant #470,"NY, 195 street, 360",Chinese,2
471,restaurant #471,"NY, 110 street, 330",Italian,2
472,restaurant #472,"NY, 224 street, 503",Italian,2
473,restaurant #473,"NY, 38 street, 209",Italian,4
474,restaurant #474,"NY, 42 street, 147",Traditional,5
475,restaurant #475,"NY, 72 street, 33",Italian,5
476,restaurant #476,"NY, 120 street, 453",Chinese,4
477,restaurant #477,"NY, 105 street, 533",Italian,5
478,restaurant #478,"NY, 7 street, 215",Chinese,1
479,restaurant #479,"NY, 118 street, 475",Chinese,5
480,restaurant #480,"NY, 7 street, 101",Chinese,3
481,restaurant #481,"NY, 191 street, 195",Traditional,3
482,restaurant #482,"NY, 116 street, 168",Traditional,3
483,restaurant #483,"NY, 118 street, 528",Italian,2
484,restaurant #484,"NY, 76 street, 445",Italian,4
485,restaurant #485,"NY, 246 street, 398",Italian,4
486,restaurant #486,"NY, 79 street, 598",Chinese,1
487,restaurant #487,"NY, 13 street, 338",Italian,5
488,restaurant #488,"NY, 101 street, 366",Chinese,3
489,restaurant #489,"NY, 242 street, 372",Italian,4
490,restaurant #490,"NY, 87 street, 138",Chinese,3
491,restaurant #491,"NY, 232 street, 342",Italian,4
492,restaurant #492,"NY, 188 street, 147",Traditional,3
493,restaurant #493,"NY, 168 street, 382",Italian,1
494,restaurant #494,"NY, 7 street, 464",Italian,2
495,restaurant #495,"NY, 194 street, 297",Chinese,3
496,restaurant #496,"NY, 36 street, 147",Chinese,5
497,restaurant #497,"NY, 45 street, 84",Chinese,1
498,restaurant #498,"NY, 195 street, 3",Italian,1
499,restaurant #499,"NY, 143 street, 126",Chinese,1
500,restaurant #500,"NY, 220 street, 75",Italian,1
501,restaurant #501,"NY, 105 street, 92",Italian,2
502,restaurant #502,"NY, 141 street, 472",Italian,3
503,restaurant #503,"NY, 271 street, 324",Italian,5
504,restaurant #504,"NY, 128 street, 262",Chinese,3
